Small Direct Revenue/Order	$120 	$111 	$142 	$117 	$141 	$253 	$148 	$250 	$157 	$136 	$83 	$137 	$110 	$96 										
Small Direct Avg Price	$0.60 	$0.62 	$0.52 	$0.63 	$0.60 	$0.51 	$0.50 	$0.63 	$0.57 	$0.83 	$0.83 	$0.89 	$0.87 	$1.13 										
Small Direct Avg GM	$0.51 	$0.43 	$0.40 	$0.48 	$0.46 	$0.37 	$0.38 	$0.51 	$0.42 	$0.73 	$0.62 	$0.66 	$0.66 	$1.12 										
Small Direct Avg OM	$0.21 	$0.24 	$0.26 	$0.30 	$0.35 	$0.21 	$0.27 	$0.40 	$0.31 	$0.65 	$0.47 	$0.39 	$0.50 	$1.11 										
% Small Direct Avg GM	85.20%	69.50%	77.40%	75.70%	77.60%	73.40%	74.90%	80.00%	73.70%	87.50%	75.00%	73.70%	75.20%	98.90%										
% Small Direct Avg OM	34.70%	39.30%	51.00%	47.60%	59.00%	40.90%	53.00%	63.40%	54.00%	77.40%	56.50%	43.40%	57.60%	97.80%										
% Small Direct Orders	30.90%	34.40%	19.70%	26.70%	17.20%	12.70%	20.70%	27.60%	34.00%	25.80%	27.00%	32.10%	43.60%	55.40%										
% Small Direct Revenue	1.80%	1.20%	0.60%	0.90%	0.50%	0.70%	0.60%	1.70%	1.20%	0.80%	0.60%	1.40%	1.40%	1.60%										
																								
KinetiX																								
KX Orders	24	32	36	39	48	48	42	62	51	56	54	40	43	25										
KX Tons	143	290	308	347	513	465	454	542	533	595	503	351	392	305										
KX Revenue	"$73,621 "	"$147,229 "	"$154,236 "	"$186,357 "	"$269,512 "	"$259,570 "	"$249,708 "	"$305,238 "	"$302,839 "	"$334,383 "	"$279,210 "	"$198,215 "	"$207,412 "	"$163,935 "										
KX Tons/Order	5.9	9.1	8.6	8.9	10.7	9.7	10.8	8.7	10.5	10.6	9.3	8.8	9.1	12.2										
KX Revenue/Order	"$3,068 "	"$4,601 "	"$4,284 "	"$4,778 "	"$5,615 "	"$5,408 "	"$5,945 "	"$4,923 "	"$5,938 "	"$5,971 "	"$5,171 "	"$4,955 "	"$4,824 "	"$6,557 "										
KX Avg Price	$0.26 	$0.25 	$0.25 	$0.27 	$0.26 	$0.28 	$0.28 	$0.28 	$0.28 	$0.28 	$0.28 	$0.28 	$0.26 	$0.27 										
KX Avg GM	$0.17 	$0.06 	$0.13 	$0.12 	$0.13 	$0.15 	$0.15 	$0.16 	$0.13 	$0.18 	$0.07 	$0.05 	$0.05 	$0.26 										
KX Avg OM	($0.14)	($0.12)	$0.00 	($0.06)	$0.02 	($0.02)	$0.04 	$0.05 	$0.02 	$0.09 	($0.09)	($0.22)	($0.11)	$0.24 										
% KX Avg GM	65.60%	25.40%	53.50%	42.90%	49.10%	51.80%	54.10%	55.00%	47.30%	63.00%	25.00%	17.10%	18.00%	95.60%										
% KX Avg OM	-52.20%	-48.60%	-1.00%	-23.10%	6.90%	-7.10%	14.00%	17.50%	7.60%	32.90%	-30.60%	-78.50%	-40.10%	90.80%										
% KX Orders	35.30%	50.00%	50.70%	45.30%	55.20%	60.80%	51.20%	59.00%	52.60%	45.20%	54.00%	49.40%	32.30%	33.80%										
% KX Tons	55.30%	71.30%	50.90%	62.50%	63.30%	72.80%	65.60%	75.70%	75.90%	63.80%	80.20%	78.60%	51.00%	72.30%										
% KX Revenue	51.50%	71.00%	47.30%	61.40%	59.60%	69.70%	60.00%	72.70%	71.90%	62.40%	77.40%	75.50%	45.70%	68.00%										
KX Distributor Revenue	"$61,486 "	"$127,628 "	"$140,813 "	"$156,122 "	"$228,374 "	"$144,762 "	"$173,748 "	"$205,304 "	"$169,848 "	"$163,911 "	"$158,826 "	"$90,408 "	"$150,828 "	"$119,934 "										
KX Large Direct Revenue	$0 	$0 	$0 	$0 	"$13,640 "	"$109,560 "	"$68,200 "	"$84,040 "	"$109,120 "	"$155,716 "	"$104,852 "	"$101,728 "	"$50,864 "	"$41,272 "										
KX Medium Direct Revenue	"$11,980 "	"$19,260 "	"$12,840 "	"$30,040 "	"$27,300 "	"$4,420 "	"$6,700 "	"$12,620 "	"$22,444 "	"$13,960 "	"$15,180 "	"$5,384 "	"$5,196 "	"$2,336 "										
KX Small Direct Revenue	$155 	$341 	$583 	$195 	$198 	$828 	"$1,060 "	"$3,274 "	"$1,427 "	$796 	$352 	$695 	$524 	$393 										
KX Online Revenue	$0 	$0 	$0 	$0 	$0 	$0 	"$1,440 "	$160 	$64 	$224 	"$1,160 "	$573 	"$1,056 "	"$1,289 "										
KX Offline Revenue	"$73,621 "	"$147,229 "	"$154,236 "	"$186,357 "	"$269,512 "	"$259,570 "	"$248,268 "	"$305,078 "	"$302,775 "	"$334,159 "	"$278,050 "	"$197,642 "	"$206,356 "	"$162,646 "										
KX First Revenue	$0 	"$1,356 "	"$4,220 "	$0 	$198 	"$14,760 "	$360 	"$2,392 "	"$1,728 "	"$16,421 "	"$2,448 "	"$2,517 "	"$1,152 "	"$2,729 "										
KX Repeat Revenue	"$73,621 "	"$145,873 "	"$150,016 "	"$186,357 "	"$269,314 "	"$244,810 "	"$249,348 "	"$302,846 "	"$301,111 "	"$317,962 "	"$276,762 "	"$195,698 "	"$206,260 "	"$161,206 "										
																								
DynamiX																								
DX Orders	7	5	14	12	13	9	6	12	10	18	10	8	16	6										
DX Tons	87	105	241	193	278	132	142	139	121	295	100	76	251	94										
DX Revenue	"$47,160 "	"$49,620 "	"$124,860 "	"$101,804 "	"$164,000 "	"$74,230 "	"$78,860 "	"$78,853 "	"$72,537 "	"$158,420 "	"$56,130 "	"$43,637 "	"$136,541 "	"$52,506 "										
DX Tons/Order	12.4	21	17.2	16	21.4	14.7	23.7	11.5	12.1	16.4	10	9.5	15.7	15.7										
DX Revenue/Order	"$6,737 "	"$9,924 "	"$8,919 "	"$8,484 "	"$12,615 "	"$8,248 "	"$13,143 "	"$6,571 "	"$7,254 "	"$8,801 "	"$5,613 "	"$5,455 "	"$8,534 "	"$8,751 "										
DX Avg Price	$0.27 	$0.24 	$0.26 	$0.26 	$0.29 	$0.28 	$0.28 	$0.28 	$0.30 	$0.27 	$0.28 	$0.29 	$0.27 	$0.28 										
DX Avg GM	$0.18 	$0.05 	$0.14 	$0.11 	$0.16 	$0.15 	$0.15 	$0.16 	$0.15 	$0.16 	$0.07 	$0.05 	$0.06 	$0.27 										
DX Avg OM	($0.12)	($0.14)	$0.01 	($0.07)	$0.05 	($0.02)	$0.04 	$0.05 	$0.04 	$0.08 	($0.08)	($0.22)	($0.10)	$0.25 										
% DX Avg GM	67.30%	19.80%	55.10%	42.00%	54.70%	52.10%	54.50%	55.50%	50.00%	61.20%	25.80%	18.30%	20.10%	95.70%										
% DX Avg OM	-44.90%	-59.60%	2.50%	-25.00%	17.00%	-6.40%	14.70%	18.30%	12.40%	29.70%	-29.20%	-75.90%	-36.40%	91.10%										
% DX Orders	10.30%	7.80%	19.70%	14.00%	14.90%	11.40%	7.30%	11.40%	10.30%	14.50%	10.00%	9.90%	12.00%	8.10%										
% DX Tons	33.70%	25.80%	39.80%	34.70%	34.30%	20.70%	20.50%	19.40%	17.20%	31.70%	15.90%	17.10%	32.70%	22.30%										
% DX Revenue	33.00%	23.90%	38.30%	33.50%	36.20%	19.90%	18.90%	18.80%	17.20%	29.60%	15.60%	16.60%	30.10%	21.80%										
DX Distributor Revenue	"$6,840 "	"$9,300 "	"$71,100 "	"$61,104 "	"$76,160 "	"$33,190 "	"$11,660 "	"$24,120 "	$0 	"$91,150 "	"$11,660 "	$0 	"$81,773 "	"$25,520 "										
DX Large Direct Revenue	"$40,320 "	"$40,320 "	"$53,760 "	"$40,320 "	"$87,840 "	"$40,320 "	"$67,200 "	"$53,760 "	"$70,480 "	"$67,200 "	"$40,320 "	"$40,320 "	"$53,760 "	"$26,880 "										
DX Medium Direct Revenue	$0 	$0 	$0 	$0 	$0 	$720 	$0 	$760 	"$1,240 "	$0 	"$4,010 "	"$3,177 "	$760 	$0 										
DX Small Direct Revenue	$0 	$0 	$0 	$380 	$0 	$0 	$0 	$213 	$817 	$70 	$140 	$140 	$248 	$106 										
DX Online Revenue	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$140 	$350 	$70 	$140 	"$1,037 "	$210 	$106 										
DX Offline Revenue	"$47,160 "	"$49,620 "	"$124,860 "	"$101,804 "	"$164,000 "	"$74,230 "	"$78,860 "	"$78,713 "	"$72,187 "	"$158,350 "	"$55,990 "	"$42,600 "	"$136,331 "	"$52,400 "										
DX First Revenue	$0 	$0 	$0 	$0 	"$15,840 "	$720 	$0 	$935 	"$17,127 "	$680 	"$2,420 "	$105 	$70 	$106 										
DX Repeat Revenue	"$47,160 "	"$49,620 "	"$124,860 "	"$101,804 "	"$148,160 "	"$73,510 "	"$78,860 "	"$77,918 "	"$55,410 "	"$157,740 "	"$53,710 "	"$43,532 "	"$136,471 "	"$52,400 "										
																								
EpiX																								
EX Orders	37	27	21	35	26	22	34	31	36	50	36	33	74	43										
EX Tons	28.2	11.6	56	15.8	19.7	41.8	96.1	35.5	48.5	41.8	24.4	19.4	125	23										
EX Revenue	"$22,171 "	"$10,407 "	"$46,823 "	"$15,367 "	"$19,020 "	"$38,843 "	"$87,861 "	"$36,002 "	"$45,955 "	"$43,270 "	"$25,373 "	"$20,685 "	"$110,146 "	"$24,577 "										
EX Tons/Order	0.8	0.4	2.7	0.5	0.8	1.9	2.8	1.1	1.3	0.8	0.7	0.6	1.7	0.5										
EX Revenue/Order	$599 	$385 	"$2,230 "	$439 	$732 	"$1,766 "	"$2,584 "	"$1,161 "	"$1,277 "	$865 	$705 	$627 	"$1,488 "	$572 										
EX Avg Price	$0.39 	$0.45 	$0.42 	$0.49 	$0.48 	$0.46 	$0.46 	$0.51 	$0.47 	$0.52 	$0.52 	$0.53 	$0.44 	$0.54 										
EX Avg GM	$0.30 	$0.26 	$0.30 	$0.33 	$0.35 	$0.33 	$0.33 	$0.38 	$0.32 	$0.41 	$0.31 	$0.30 	$0.22 	$0.53 										
EX Avg OM	$0.00 	$0.07 	$0.17 	$0.16 	$0.24 	$0.17 	$0.22 	$0.27 	$0.21 	$0.33 	$0.16 	$0.03 	$0.07 	$0.52 										
% EX Avg GM	77.40%	57.80%	72.20%	68.60%	72.40%	71.00%	72.30%	75.00%	68.40%	79.90%	60.10%	56.00%	50.60%	97.80%										
% EX Avg OM	0.00%	15.90%	39.60%	32.30%	49.40%	35.60%	48.20%	54.10%	44.60%	63.60%	30.50%	5.30%	15.70%	95.40%										
% EX Orders	54.40%	42.20%	29.60%	40.70%	29.90%	27.80%	41.50%	29.50%	37.10%	40.30%	36.00%	40.70%	55.60%	58.10%										
$ EX Tons	10.90%	2.90%	9.30%	2.80%	2.40%	6.50%	13.90%	5.00%	6.90%	4.50%	3.90%	4.40%	16.30%	5.40%										
% EX Revenue	15.50%	5.00%	14.40%	5.10%	4.20%	10.40%	21.10%	8.60%	10.90%	8.10%	7.00%	7.90%	24.30%	10.20%										
EX Distributor Revenue	"$16,102 "	"$4,455 "	"$30,740 "	"$7,862 "	"$14,878 "	"$37,139 "	"$81,103 "	"$26,320 "	"$39,331 "	"$27,847 "	"$17,938 "	"$15,018 "	"$93,812 "	"$19,960 "										
EX Large Direct Revenue	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 	$0 										
EX Medium Direct Revenue	"$3,700 "	"$3,840 "	"$14,680 "	"$5,400 "	"$2,220 "	$0 	"$5,300 "	"$5,905 "	"$3,680 "	"$11,948 "	"$5,680 "	"$2,940 "	"$10,730 "	"$1,160 "										
EX Small Direct Revenue	"$2,370 "	"$2,112 "	"$1,403 "	"$2,105 "	"$1,922 "	"$1,704 "	"$1,458 "	"$3,777 "	"$2,944 "	"$3,476 "	"$1,755 "	"$2,727 "	"$5,604 "	"$3,457 "										
EX Online Revenue	$0 	$0 	$0 	$0 	$0 	$0 	$104 	"$5,142 "	"$2,260 "	"$6,126 "	"$4,526 "	"$3,918 "	"$8,335 "	"$2,927 "										
EX Offline Revenue	"$22,171 "	"$10,407 "	"$46,823 "	"$15,367 "	"$19,020 "	"$38,843 "	"$87,757 "	"$30,860 "	"$43,695 "	"$37,145 "	"$20,847 "	"$16,767 "	"$101,811 "	"$21,650 "										
EX First Revenue	$671 	$568 	$621 	"$2,801 "	"$2,362 "	$52 	$423 	"$6,093 "	"$3,466 "	"$6,938 "	"$3,332 "	"$1,720 "	"$4,768 "	"$2,927 "										
EX Repeat Revenue	"$21,500 "	"$9,839 "	"$46,202 "	"$12,566 "	"$16,658 "	"$38,791 "	"$87,438 "	"$29,909 "	"$42,489 "	"$36,333 "	"$22,041 "	"$18,965 "	"$105,378 "	"$21,650 "										
